,title,year,length,director
0,The Shawshank Redemption,1994,2h 22m,Frank Darabont
1,The Shawshank Redemption,1994,2h 22m,Frank Darabont
2,The Godfather,1972,2h 55m,Francis Ford Coppola
3,The Godfather,1972,2h 55m,Francis Ford Coppola
4,The Dark Knight,2008,2h 32m,Christopher Nolan
5,The Dark Knight,2008,2h 32m,Christopher Nolan
6,The Godfather Part II,1974,3h 22m,Francis Ford Coppola
7,The Godfather Part II,1974,3h 22m,Francis Ford Coppola
8,12 Angry Men,1957,1h 36m,Sidney Lumet
9,12 Angry Men,1957,1h 36m,Sidney Lumet
10,Schindler's List,1993,3h 15m,Steven Spielberg
11,Schindler's List,1993,3h 15m,Steven Spielberg
12,The Lord of the Rings: The Return of the King,2003,3h 21m,Peter Jackson
13,The Lord of the Rings: The Return of the King,2003,3h 21m,Peter Jackson
14,Pulp Fiction,1994,2h 34m,Quentin Tarantino
15,Pulp Fiction,1994,2h 34m,Quentin Tarantino
16,The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,Peter Jackson
17,The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,Peter Jackson
18,"The Good, the Bad and the Ugly",1966,2h 58m,Sergio Leone
19,"The Good, the Bad and the Ugly",1966,2h 58m,Sergio Leone
20,Forrest Gump,1994,2h 22m,Robert Zemeckis
21,Forrest Gump,1994,2h 22m,Robert Zemeckis
22,Fight Club,1999,2h 19m,David Fincher
23,Fight Club,1999,2h 19m,David Fincher
24,The Lord of the Rings: The Two Towers,2002,2h 59m,Peter Jackson
25,The Lord of the Rings: The Two Towers,2002,2h 59m,Peter Jackson
26,Inception,2010,2h 28m,Christopher Nolan
27,Inception,2010,2h 28m,Christopher Nolan
28,Star Wars: Episode V - The Empire Strikes Back,1980,2h 4m,Irvin Kershner
29,Star Wars: Episode V - The Empire Strikes Back,1980,2h 4m,Irvin Kershner
30,The Matrix,1999,2h 16m,Lana Wachowski
31,The Matrix,1999,2h 16m,Lana Wachowski
32,Goodfellas,1990,2h 25m,Martin Scorsese
33,Goodfellas,1990,2h 25m,Martin Scorsese
34,One Flew Over the Cuckoo's Nest,1975,2h 13m,Milos Forman
35,One Flew Over the Cuckoo's Nest,1975,2h 13m,Milos Forman
36,Se7en,1995,2h 7m,David Fincher
37,Se7en,1995,2h 7m,David Fincher
38,Seven Samurai,1954,3h 27m,Akira Kurosawa
39,Seven Samurai,1954,3h 27m,Akira Kurosawa
40,It's a Wonderful Life,1946,2h 10m,Frank Capra
41,It's a Wonderful Life,1946,2h 10m,Frank Capra
42,The Silence of the Lambs,1991,1h 58m,Jonathan Demme
43,The Silence of the Lambs,1991,1h 58m,Jonathan Demme
44,Saving Private Ryan,1998,2h 49m,Steven Spielberg
45,Saving Private Ryan,1998,2h 49m,Steven Spielberg
46,City of God,2002,2h 10m,Fernando Meirelles
47,City of God,2002,2h 10m,Fernando Meirelles
48,Interstellar,2014,2h 49m,Christopher Nolan
49,Interstellar,2014,2h 49m,Christopher Nolan
50,Life Is Beautiful,1997,1h 56m,Roberto Benigni
51,Life Is Beautiful,1997,1h 56m,Roberto Benigni
52,The Green Mile,1999,3h 9m,Frank Darabont
