name,description,review_text,review_rating,genre,keywords,datePublished,director,actor,creator
La decima vittima,,,7,"['Action', 'Comedy', 'Romance']","['nipples visible through clothing', 'braless', 'sexist', 'sexism', 'gay stereotype']",1965-12-20,['Elio Petri'],"['Marcello Mastroianni', 'Ursula Andress', 'Elsa Martinelli']","['Robert Sheckley', 'Tonino Guerra', 'Giorgio Salvioni']"
100 Feet,"After Marnie Watson kills her abusive husband in self-defense, she is condemned to house arrest... only to discover that the house is possessed by the enraged and violent spirit of her dead husband.","The story starts with an interesting premise but soon goes overboard in depicting some gory scenes of a ghost&apos;s vengeance during which time much blood is shed for the sake of horror fans who like this sort of thing. It&apos;s well acted and tense with some quietly underplayed opening scenes, but once the ghost starts wreaking the place all hell breaks loose and the story loses a great deal of credibility.

The acting is fine, with Famke Janssen giving a strong performance as a woman forced to wear an ankle bracelet and kept under close watch by a suspicious policeman who was her husband&apos;s partner. But the tension doesn&apos;t become tight until the last third of the story and then it goes way over the top in depicting violence.

Scary enough but midway through, the story loses a lot of credibility despite the high quality of the performances.",6,"['Horror', 'Mystery', 'Thriller']","['prison', 'house arrest', 'revenge', 'ankle bracelet', 'abusive husband']",2008-07-24,['Eric Red'],"['Famke Janssen', 'Bobby Cannavale', 'Ed Westwick']",['Eric Red']
12 Years a Slave,,,9,"['Biography', 'Drama', 'History']","['kidnapping', 'racism', 'separation from family', 'torture', 'whipping']",2013-11-08,['Steve McQueen'],"['Chiwetel Ejiofor', 'Michael Kenneth Williams', 'Michael Fassbender']","['John Ridley', 'Solomon Northup']"
Thirteen Conversations About One Thing,"In New York City, the lives of a lawyer, an actuary, a house-cleaner, a professor and the people around them intersect as they ponder order and happiness in the face of life&apos;s cold unpredictability.","In `13 Conversations About One Thing,&apos; the `one thing&apos; that everyone keeps having conversations about is whether or not happiness is possible in a world that seems to be made up of little more than a series of random events haphazardly strung together. Just as everything seems to be going your way, an unexpected and unforeseen `event&apos; may knock you completely off course, thereby depriving you of that `happiness&apos; you felt, moments before, lay just within your grasp. This view of life seems to be rather popular among filmmakers this year, having also been explored in some depth in the sci-fi thriller `Signs&apos; this summer. `13 Conversations&apos; takes a more low-keyed approach, providing a series of interlocking vignettes from everyday life that, when pieced together, provide a possible answer to life&apos;s ultimate question. 

Writers Karen and Jill Sprecher (the latter also directed the film) have fashioned a complex narrative involving a number of characters whose paths cross in bizarre and often shocking ways. In fact, the film is rather unique in that the structure actually BECOMES the theme, as we discover that events that seem random to us - and indeed to the characters - at the outset actually come together to form a meaningful pattern. As one character says at the end of the film, life really only makes sense when we take the time to look back on it, for it is only from that perspective that we are able to discern the overarching pattern and meaning of it all.

All of the many characters in the film are struggling not only to define happiness but to attain a measure of it for themselves in a world in which they are made to feel like mere helpless pawns, blown about by the whims of `fortune,&apos; `luck,&apos; `chance,&apos; `fate,&apos; whatever one wants to call the `power&apos; that seems to determine the courses our lives end up taking. Matthew McConaughey plays a handsome and successful public defender who feels that he has achieved happiness in his career only to have it ripped from him when he runs over a young woman at a corner and leaves the scene of the crime. The woman herself (Clea Duvall), before the accident, is a sincere believer in a higher power that watches over us and guides us along the path it most wants us to take. Yet, after the accident, she loses that belief, coming instead to see life as a chaotic jumble of chance circumstances, devoid of meaning and purpose. John Turturro plays a college professor suffering from the classic symptoms of major midlife crisis. He abandons his wife (Amy Irving), conducts a meaningless affair with a coworker, and finds no relevance or fulfillment in his teaching job or in the students he could be guiding and helping. As a Physics teacher, he knows that the universe is NOT random, that it does, in fact, operate within a series of finely proscribed natural laws. Perhaps this is why he is the one character who actually tries to buck `fate&apos; and to take proactive measures to change the course of his life. The problem is that the course change brings him no more satisfaction than did his previous life path. Perhaps, most fascinating of all is Alan Arkin, a businessman so unhappy with his own life that he takes pleasure in ruining the life of a co-worker who seems somehow to have attained the happiness that has eluded the rest of us.

`13 Conversations About One Thing&apos; is definitely a movie that grows on you. Like `Go&apos; a few years back, the makers of this film respect the intelligence of their audience. They gather the strands of their story slowly, thereby allowing us to make connections and to eventually come up with the theme on our own. As the film&apos;s director, Jill Sprecher never hurries us along. In fact, much of the profundity of the screenplay is brought out by the elegiac, lyrical tone she establishes throughout. The quiet, unhurried pacing of the scenes puts the audience into a reflective state of mind that helps us see beneath the deceptively simple surface of the film&apos;s action.

McConaughey, Duvall, Turturro and Irving are all outstanding in this film, but it is Arkin who soars in the key role of the disgruntled businessman. His sad-faced, understated portrayal of a man so caught up in petty bitterness that he will willfully destroy a harmless fellow human being to make himself feel a bit less miserable is shattering in its brilliance. He has truly never been better. Ditto for the other actors, for this is a great ensemble cast, even though most of the performers never appear in any scenes together.

`13 Conversations About One Thing&apos; is a film that feels like it has REALLY BEEN THOUGHT OUT ahead of time, not thrown together in haphazard fashion as so many other films appear to be. And that, given the theme of the film, is exactly the point.",,['Drama'],"['happiness', 'professor', 'house cleaner', 'attorney', 'new york city']",2002-07-05,['Jill Sprecher'],"['Alan Arkin', 'John Turturro', 'Matthew McConaughey']","['Karen Sprecher', 'Jill Sprecher']"
1408,,,8,"['Fantasy', 'Horror', 'Mystery']","['death of daughter', 'hotel', 'writer', 'haunted hotel', 'author']",2007-06-22,['Mikael Håfström'],"['John Cusack', 'Samuel L. Jackson', 'Mary McCormack']","['Matt Greenberg', 'Scott Alexander', 'Larry Karaszewski']"
1917,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.","1917 is a poem. Is the most deep, impressive and realistic way of seeing what kinds of things happened in WWI. This movie made me leave the movies with tears in my eyes as if I have had a time travel experience to the World War I, and then waking up and realizing how wonderful are the times we are living in. 1917 is a must see movie for everyone.",10,"['Action', 'Drama', 'War']","['world war one', 'year 1917', 'long take', '24 hour time span', 'race against time']",2020-01-10,['Sam Mendes'],"['Dean-Charles Chapman', 'George MacKay', 'Daniel Mays']","['Sam Mendes', 'Krysty Wilson-Cairns']"
1990: I guerrieri del Bronx,"In a post-apocalyptic New York City, a policeman infiltrates the Bronx, which has become a battleground for several murderous street gangs.","I have watched the sequel to this film before, but this is the first time seeing this one and I have to say it is a better film. Basically, it is kind of a combination of Warriors and Escape From New York brought to us by Italy who likes to take something that is popular here and make it their own. Usually the film is not the best film ever made, but it can oftentimes turn out to be rather entertaining and that is the case with this one. It has some good action and a so over the top plot that it is at times rather funny too.

The story, Trash and his gang find a girl being harassed by a gang on roller skates called the Zombies! Why they are called the Zombies and not the Wheelies is anybody&apos;s guess. This girl is actually supposed to be the head of some major weapons company, which is honestly rather stupid and just a strange excuse to bring in the Hammer! Vic Morrow plays the bad guy and does so with his usual gusto making the film more entertaining than it should be. Trash must find the Ogre who is king of Bronx, but there is much treachery afoot and the flamethrowers are a coming!

Fred Williamson plays the Ogre and the amount of times he appears in films in Italy leads me to believe the man really enjoy the country. I heard he once asked to be in a film, the one with the guy and a talking motorcycle and they agreed to put him in it. I am betting he was going to have to go home otherwise! Vic Morrow also appears in a lot of these Italian films too and I bet the same applies to him.

So, this film has lots of mindless violence and lots of weird stuff going on and so it is not a good film, but fun to watch nonetheless. It is kind of like a Full Moon film with these Italian films that copy the famous films, they are usually short and may not be great, but always generally fun and once in a while you get a diamond in the rough. This one manages to entertain and also can make you laugh and make you wonder. Like, why didn&apos;t Vic Morrow simply move out of the way of the harpoon as he had all day to do so.",5,"['Action', 'Sci-Fi', 'Thriller']","['street gang', 'gang leader', 'new york city', 'urban decay', 'social decay']",1983-04-22,['Enzo G. Castellari'],"['Mark Gregory', 'Fred Williamson', 'Vic Morrow']","['Dardano Sacchetti', 'Elisa Briganti', 'Enzo G. Castellari']"
The 40 Year Old Virgin,,"Steve Carell has made a career out of portraying the slightly odd straight guy, first on &apos;The Daily Show&apos;, and then in various supporting roles. In Virgin, Carell has found a clever and hilarious script that perfectly capitalizes on his strengths. Carell plays Andy Stitzer, a middle aged man living a quiet, lonely life. Andy is a little odd, but in an awkward nice guy sort of way. One night, while socializing with his co-workers for the first time, Andy accidentally reveals that he is a virgin. His co-workers, David (Paul Rudd), Jay (Romany Malco), and Cal (Seth Rogen) initially tease Andy about his situation. But it&apos;s clear that all three have a certain respect for the decent human being that Andy is, and they resolve to help him out by assisting him in ending his virginity. And so begins Andy&apos;s quest into adulthood. Andy is the quintessential innocent, and the bulk of the humor derives from his naiveté to the situations he finds himself in throughout the film. Some of the humor is crude gross out stuff, but most of it is just well done intelligent comedy. In addition, I found some parts of the film actually pretty touching as Andy finds himself developing both romantic relationships and friendships perhaps for the first time in his life. I&apos;m not trying to portray the movie as a love story or a drama; it&apos;s a rolling in your seats comedy. Still, every good comedy I have ever seen contains enough heart for you to care about the characters. A good comparison would be &apos;The Wedding Crashers&apos; from earlier this summer. Virgin has a similar humor, but is perhaps a bit more vulgar in some of its jokes. I particularly loved the ending of the film, which I thought was a perfect way to end the flick. Without giving anything away, it reminded me of &apos;Something About Mary&apos;. Very light and fun; it leaves you laughing and smiling, which is exactly how you should feel when you finish a comedy. I would highly recommend.",8,"['Comedy', 'Romance']","['40 year old', 'loss of virginity', 'male virgin', 'single mother', 'porn star']",2005-08-19,['Judd Apatow'],"['Steve Carell', 'Catherine Keener', 'Paul Rudd']","['Judd Apatow', 'Steve Carell']"
"20,000 Leagues Under the Sea","A ship sent to investigate a wave of mysterious sinkings encounters the advanced submarine, the Nautilus, commanded by Captain Nemo.","There&apos;s something out there roaming the Pacific Ocean destroying a whole lot of shipping and killing a lot of people. The more maritime the nation, the more losses it&apos;s suffering. Jules Verne&apos;s story has the United States of America taking the first crack at finding what&apos;s going on in the Pacific.

On a ship commanded by Ted DeCorsia are two Frenchmen, renowned scientist Paul Lukas and his assistant Peter Lorre. Also along is Kirk Douglas who is crack whaling harpooner. 

Of course they meet up with the beast and it&apos;s no living thing, but a submarine. This was all new back then, although prototype submarines were used in the Civil War they had limited effectiveness. In fact this particular kind of submarine was something unheard of until the middle of the last century. It&apos;s captain is a misanthropic fellow named Nemo, played by James Mason. He&apos;s taking it out on the nation&apos;s of the world for some personal losses sustained. 

His brilliance as a scientist, his refinement also attracts Paul Lukas. But Kirk Douglas just wants to escape because for all of Douglas&apos;s carefree philistinism, he sees Nemo as a murderer and a menace. The conflict between both is what drives the story.

20,000 Leagues Under the Sea won Oscars for both Special Effects and Art direction. It is probably Walt Disney&apos;s most successful live action film ever done, even beating out Mary Poppins dare I say. Even in this day of computer generated effects, 20,000 Leagues Under the Sea still holds its own with more modern films.

Kirk Douglas enjoyed the part of Ned Land the harpooner and it&apos;s a favorite of his today. He might have made a few more films for Walt Disney but for an incident that took place after the film. 

Disney was also at the same time creating his first theme park, Disneyland in Anahem, California. When it was opening he invited Kirk and his family to spend the day there on him and he even agreed to furnish a camera crew to follow the Douglas family around as they enjoyed the park attractions. 

So Kirk took his wife and his sons and they had a grand old time and got some free home movies as a souvenir. But Walt Disney kept the negative and the films showed up on his Walt Disney Presents television show. Of course Kirk never got paid for this appearance and neither did any of the rest of his family including young Michael Douglas. 

Even though this left a sour taste in Kirk Douglas&apos;s mouth as he related in his memoirs, The Ragman&apos;s Son, he liked his work in this film very much and the part certainly has the same kind of exuberance we expect from a Kirk Douglas movie. Kirk even gets to sing in the film, a nice little sea chantey called A Whale of a Tale. He even made a record of it and I&apos;m sure if you can find it, the item might be worth a few dollars as a collectible.

Right around the time 20,000 Leagues Under the Sea was released the United States Navy launched it&apos;s first atomic submarine. In tribute to that most popular of French authors with American audiences, the Navy named the ship the Nautilus. A great tribute to a great writer of fabulous tales of imagination. And Walt Disney couldn&apos;t have gotten better publicity had he paid for it.

Don&apos;t believe me, I swear by my tattoo.",9,"['Adventure', 'Drama', 'Family']","['underwater', 'jules verne', 'submarine', 'giant tentacle', 'submarine captain']",1955-07-20,['Richard Fleischer'],"['Kirk Douglas', 'James Mason', 'Paul Lukas']","['Earl Felton', 'Jules Verne']"
2001: A Space Odyssey,,,10,"['Adventure', 'Sci-Fi']","['monolith', 'human versus computer', 'star child', 'famous line', 'computer']",1970-06-24,['Stanley Kubrick'],"['Keir Dullea', 'Gary Lockwood', 'William Sylvester']","['Stanley Kubrick', 'Arthur C. Clarke']"
